代理商 (Division),客户,客户名称,渠道分类,客户分类,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales)
温州赫利佳,9100069715,温州灵溪建兴西路176号,药店及日用品商店,Non-KA,,,635.60,263.20,"1,016.40",288.48,470.80,552.20,,204.47,243.88,432.34,461.94,317.80,,"4,887.11"
温州赫利佳,9100069719,温州钱库旺得利超市,食杂店,Non-KA,188.72,242.14,399.92,,716.80,411.32,117.28,,,,,,,,,"2,076.18"
温州赫利佳,9100070650,温州永乐路211号柳世财,食杂店,Non-KA,461.21,146.70,338.36,,743.76,148.97,524.72,222.50,,202.36,116.53,446.98,561.66,139.82,,"4,053.57"
温州赫利佳,9100070655,温州家福超市,小型超级市场,Non-KA,442.04,,652.34,,496.08,,82.12,,,,,,,,,"1,672.58"
温州赫利佳,9100072485,温州永华湖前店,小型超级市场,Non-KA,912.28,,"1,426.00","1,458.11",528.24,350.94,342.70,955.82,235.92,325.56,300.50,"1,679.50",234.56,478.75,,"9,228.88"
温州赫利佳,9100074931,温州春华自选,食杂店,Non-KA,260.16,,176.76,132.64,640.32,341.71,735.37,476.70,,218.38,235.38,327.41,82.12,880.36,,"4,507.31"
温州赫利佳,9100075454,温州苏家爱华宜山,小型超级市场,Non-KA,611.16,576.96,"1,131.64","2,706.94",901.84,993.94,234.56,974.62,,"1,136.10","1,486.32",835.00,"1,824.50",805.58,,"14,219.16"
温州赫利佳,9100075745,温州福旺达超市金乡店,小型超级市场,Non-KA,540.17,291.94,,689.37,,516.40,,,,789.54,374.10,237.51,235.92,,,"3,674.95"
温州赫利佳,9100076181,温州果市街8号,批发商,WS,,917.20,,,475.84,"9,001.44",773.24,"21,284.80","7,982.40","5,321.20","6,415.48",,,,,"52,171.60"
温州赫利佳,9100077140,温州迎宾路9号,食杂店,Non-KA,,880.82,,,699.80,189.70,260.56,214.32,311.40,"2,143.20",,405.76,791.13,5.95,,"5,902.64"
温州赫利佳,9100077389,温州泗溪供销社旁洪立虎,食杂店,Non-KA,188.72,,,,759.28,,,,,,,,,,,948.00
温州赫利佳,9100078034,温州凤卧东路146-152号,食杂店,Non-KA,340.96,960.68,,461.87,760.96,382.09,361.27,353.52,303.14,234.56,218.38,288.48,71.44,176.24,,"4,913.59"
温州赫利佳,9100078654,温州万家惠超市灵溪店,大卖场,RKA2,"73,826.35","73,547.30","72,118.83","79,048.50","70,807.36","71,267.05","68,751.11","72,713.10","71,268.46","73,086.79","77,687.28","67,240.22","80,160.45","74,461.64",,"1,025,984.44"
温州赫利佳,9100078785,温州泗溪利民超市,小型超级市场,Non-KA,"1,064.24",,703.68,,582.52,170.51,,,,,,,,,,"2,520.95"
温州赫利佳,9100080823,温州萧联超市三魁店,小型超级市场,Non-KA,"2,044.90","3,441.45","2,005.83","1,362.88","1,717.95",807.04,"1,522.86","1,683.05",274.38,"1,763.23","3,365.58","3,366.32","1,088.25","3,914.64",,"28,358.36"
温州赫利佳,9100080843,温州万家和超市,小型超级市场,Non-KA,500.81,847.72,307.70,356.88,317.80,305.08,277.92,474.42,460.41,367.60,794.50,"1,058.01",814.88,927.31,,"7,811.04"
温州赫利佳,9100086037,温州晓燕批发,批发商,WS,644.31,-556.30,,,,,,,,,,,11.09,,,99.10
温州赫利佳,9100086296,温州可迪,食杂店,Non-KA,597.77,211.18,433.96,234.56,524.72,432.80,234.56,679.89,,230.34,236.00,255.44,565.41,94.24,,"4,730.87"
温州赫利佳,9100086306,温州东南自选,食杂店,Non-KA,,277.86,,,,,,,,,,,,,,277.86
